CUST_ID,CUSTNAME,CITY,STATE,COUNTRY_CODE,POSTAL_CODE,EMAIL_ADDRESS,PHONE_NUMBER,YTD_SALES,SALESREP_ID,NATIONALITY,NATIONAL_ID,CREDITCARD_NUMBER,CREDITCARD_TYPE,CREDITCARD_EXP,CREDITCARD_CVV
10044,Esperanza Pardo,Alberton,SA,AU,5014,Esperanza.C.pardo@trashymail.com,966-771-5050,20735.7,SE403,IT,943-254-707,4860000000000000,Discover,24-Dec,5443
10052,James Smith,Albury,NSW,AU,2640,James.E.Smith@gmail.com,925-845-6235,2000,NW112,IT,998-599-243,4610000000000000,American Express,24-Dec,6953
10060,Chad Young,Aldersyde,WA,AU,6306,Chad.S.young@gmail.com,765-196-1399,3782.03,RP385,FR,606-735-647,4660000000000000,American Express,24-Dec,1367
10061,Terrell Langan,Alexandra,QLD,AU,4740,Terrell.C.langan@gmail.com,727-216-9982,2904.86,SC391,CA,749-414-397,4410000000000000,American Express,24-Dec,8017
10088,Daniel Carr,Alva,QLD,AU,4807,Daniel.D.carr@trashymail.com,764-720-6575,2853.3,NC232,IT,645-803-408,4140000000000000,Diners Club,25-Jan,7932
10357,Lori Barnes,Boambee,NSW,AU,2450,Lori.W.barnes@yahoo.com,446-333-8358,2000,NE304,CA,913-356-843,4530000000000000,Discover,25-Jan,3912
10103,Phyllis Jusinno,Angas Plains,SA,AU,5255,Phyllis.J.Tusinno@yahoo.com,208-928-9277,1090.3,WE151,IT,284-197-273,4260000000000000,American Express,25-Jan,6360
10079,Earl Rutherford,Alma,QC,CA,64728,Earl.M.rutherford@yahoo.com,613-198-1340,2782.03,NE172,ES,648-177-448,4250000000000000,American Express,25-Jan,5261
10106,Cheri Daryn,Laguna,QC,CA,J0Z 1A0,Cheri.Daryn@trashymail.com,746-568-4746,1304,NC169,ES,528-293-359,4330000000000000,American Express,25-Jan,1239
10099,Michael Mendoza,Ancona,AN,IT,60123,Michael.Mendoza@gmail.com,688-784-6637,1673,RP385,U.S.,226-429-972,4580000000000000,Diners Club,25-Jan,8785
10100,Mariana Cook,Ancona,AN,IT,60126,Mariana.Cook@gmail.com,340-506-5655,1863.9,RP319,UK,385-329-458,4030000000000000,American Express,25-Jan,3598
10101,Suzanne Bolger,Andonno,CN,IT,12010,Suzanne.M.Bolger@trashymail.com,692-714-6930,10095.04,SC256,CA,728-589-848,4460000000000000,American Express,25-Jan,4199
10102,Evelyn Conner,Andria,BA,IT,70031,Evelyn.R.Conner@mailinator.com,845-679-3051,1904.86,SE208,UK,505-673-311,4680000000000000,American Express,25-Jan,3964
10012,Chris Green,ACTON,,UK,10101,Chris.M.green@yahoo.com,933-753-6160,6869.4,RP385,U.S.,321-821-746,2780000000000000,Discover,24-Nov,6391
10053,Vanessa Fullilove,ALBY HILL,,UK,20110,Vanessa.P.fullilove@yahoo.com,229-942-5028,1352,SW340,ES,930-619-152,4860000000000000,American Express,24-Dec,7766
